trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.4, 'e': 0.9999998750000026}",25,0,-108.7498199006321,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
2,False,"{'a': 0.4, 'e': 0.9999995000000417}",25,0,-128.46372283929145,"{0: 12, 1: 6, 2: 5, 3: 1, 4: 1}",0
3,False,"{'a': 0.4, 'e': 0.9999988750002109}",30,5,-221.35997535012572,"{0: 12, 1: 2, 2: 7, 3: 0, 4: 4}",1
4,False,"{'a': 0.4, 'e': 0.9999980000006666}",30,0,-115.13263999888265,"{0: 18, 1: 3, 2: 8, 3: 0, 4: 1}",0
5,False,"{'a': 0.4, 'e': 0.9999968750016276}",20,0,-83.42806115392865,"{0: 11, 1: 0, 2: 8, 3: 1, 4: 0}",0
6,False,"{'a': 0.4, 'e': 0.999995500003375}",25,0,-137.80495953414317,"{0: 12, 1: 3, 2: 8, 3: 1, 4: 1}",0
7,False,"{'a': 0.4, 'e': 0.9999938750062526}",25,0,-212.1101664179817,"{0: 12, 1: 1, 2: 8, 3: 1, 4: 3}",0
8,False,"{'a': 0.4, 'e': 0.9999920000106667}",20,0,-80.60476872400507,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
9,False,"{'a': 0.4, 'e': 0.9999898750170859}",25,0,-76.98614776364074,"{0: 16, 1: 6, 2: 1, 3: 1, 4: 1}",0
10,False,"{'a': 0.4, 'e': 0.9999875000260416}",30,0,-143.49796418524798,"{0: 16, 1: 4, 2: 8, 3: 1, 4: 1}",0
11,False,"{'a': 0.4, 'e': 0.9999848750381276}",20,5,7.186706678233415,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
12,False,"{'a': 0.4, 'e': 0.999982000054}",20,0,-77.11475188601545,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
13,False,"{'a': 0.4, 'e': 0.9999788750743775}",30,12,-22.228181531094027,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 0}",1
14,False,"{'a': 0.4, 'e': 0.9999755001000415}",20,0,-98.83434578729762,"{0: 13, 1: 4, 2: 1, 3: 0, 4: 2}",0
