trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,12,-43.70084210355851,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 1}",1
2,False,"{'a': 0.5, 'e': 1.0}",20,13,-9.847890857076733,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
3,False,"{'a': 0.5, 'e': 1.0}",30,0,-179.71177855929642,"{0: 17, 1: 2, 2: 7, 3: 2, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,2,-46.00383823760111,"{0: 19, 1: 0, 2: 3, 3: 0, 4: 1}",1
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-132.4836395902439,"{0: 13, 1: 1, 2: 1, 3: 3, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,0,-115.02356323292071,"{0: 20, 1: 5, 2: 3, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-149.731782526023,"{0: 14, 1: 1, 2: 8, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-13.071131954823421,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-26.69104385498527,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-112.89918433864065,"{0: 9, 1: 3, 2: 7, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-60.07719439986041,"{0: 12, 1: 4, 2: 3, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-167.24675806036436,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 3}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-124.91420772782018,"{0: 15, 1: 4, 2: 4, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-102.9257127209761,"{0: 9, 1: 5, 2: 5, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-181.89062006503767,"{0: 7, 1: 3, 2: 7, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-72.91436300153751,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",30,0,-164.60217464754243,"{0: 18, 1: 3, 2: 5, 3: 2, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-185.36828275148375,"{0: 9, 1: 1, 2: 7, 3: 0, 4: 3}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-104.28016978347712,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-104.24183251849223,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-169.10140849775195,"{0: 11, 1: 3, 2: 9, 3: 0, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,15,-30.892490326687366,"{0: 6, 1: 0, 2: 4, 3: 0, 4: 0}",1
3,True,"{'a': 0.5, 'e': 1.0}",30,0,-79.3464924154813,"{0: 21, 1: 2, 2: 5, 3: 2, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,11,-36.573652343021934,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 1}",1
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-103.6867920221691,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-113.14874042305732,"{0: 15, 1: 4, 2: 4, 3: 0, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",35,0,-243.378137734798,"{0: 18, 1: 2, 2: 11, 3: 1, 4: 3}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-125.06220943619266,"{0: 12, 1: 5, 2: 7, 3: 0, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",30,0,-250.15065911683928,"{0: 13, 1: 1, 2: 12, 3: 1, 4: 3}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-73.17548103262027,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
